,cases,BandMaxSAT,BandMaxSAT_time,BandMaxSAT_v,BandMaxSAT_v_time,NuWLS,NuWLS_time,NuWLSV,NuWLSV_time,SATLike3.0,SATLike3.0_time,SATLike3.0_v,SATLike3.0_v_time,Loandra,Loandra_time,TT-OWI,TT-OWI_time,NuWLS_i,NuWLS_i_time,NuWLSV_s,NuWLSV_s_time
0,w_2021_role_domino_0.3_12.wcnf,102557,31.58,123319,294.98,99408,240.91,97752,41.25,101694,105.43,103250,293.86,123338.0,29.85,117392,53.0,98814,68.05,97752,46.33
1,w_2021_SwitchingActivityMaximization_OpenRISC1200_80.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,22.0,230.12,26,162.0,None,300,None,300
2,w_2021_role_domino_0.05_17.wcnf,25204,15.4,31166,298.85,24165,142.95,24377,44.84,26792,165.18,65400,298.78,28831.0,41.0,36677,30.0,24680,75.16,24070,254.96
3,w_2021_formula_0.8_2021_atleast_63_max-5_reduced_incomplete_adaboost_2.wcnf,107,9.62,100,31.88,108,26.59,104,62.95,102,36.0,93,147.84,74.0,49.79,97,11.0,104,181.98,109,5.92
4,w_2021_formula_0.8_2021_atleast_63_max-5_reduced_incomplete_adaboost_5.wcnf,943,44.29,662,207.9,928,15.55,949,66.77,747,69.51,688,89.05,446.0,111.32,740,30.0,774,12.28,949,67.37
5,w_2021_metro_8_8_5_20_10_6_500_1_3.lp.sm-extracted.wcnf,289,9.77,148,291.84,182,145.97,163,157.0,169,70.15,175,276.33,138.0,30.86,138,15.0,170,138.22,216,244.66
6,w_2021_lisbon-wedding-7-19.wcnf,825,49.81,521,299.19,504,30.31,476,170.68,493,141.27,448,185.22,424.0,7.33,426,4.0,496,294.14,489,126.46
7,w_2021_Rounded_CorrelationClustering_Protein2_UNARY_N260.wcnf,106434305,9.5,29619089,39.74,19729186,229.06,18680373,180.46,31195863,40.12,39325853,40.32,18651941.0,295.76,19136432,49.0,19088440,142.15,18712395,109.89
8,w_2021_role_domino_0.3_1.wcnf,101131,23.61,118861,299.17,97703,26.12,98952,38.46,101050,287.1,97784,278.88,139797.0,47.73,114545,291.0,99377,34.93,98952,44.54
9,w_2021_ram_k3_n15.ra1.wcnf,5402,17.39,5158,150.24,4884,2.98,4884,1.83,4884,39.77,4884,242.51,6520.0,30.79,5695,102.0,4884,2.65,4884,1.81
10,w_2021_SwitchingActivityMaximization_OpenRISC1200_72.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,27.0,92.17,22,78.0,None,300,None,300
11,w_2021_role_domino_multiple_0.5_7.wcnf,304051,5.39,179244,278.64,137208,88.01,136997,77.12,136860,234.46,136644,261.65,143371.0,45.37,169116,267.0,136820,60.27,136997,81.68
12,w_2021_instance5.wcnf,1580,22.6,1558,206.45,1396,66.35,1304,221.83,1388,46.54,1356,168.31,1224.0,32.08,1201,36.0,1306,179.72,1384,238.17
13,w_2021_role_domino_0.95_12.wcnf,537039,3.32,280309,294.37,202281,64.03,210710,86.44,202877,142.21,211645,298.3,240764.0,35.35,223995,45.0,202785,59.67,210710,90.33
14,w_2021_wg2.wcnf,205,44.35,157,262.21,144,32.11,136,101.15,197,72.38,153,275.42,84.0,77.83,91,220.0,165,125.02,160,96.63
15,w_2021_BrazilInstance2.xml.wcnf,295,5.06,268,62.45,187,230.28,147,103.05,264,132.55,285,198.37,8.0,251.68,5,103.0,179,293.31,150,38.26
16,w_2021_formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_6.wcnf,223,13.63,223,213.19,240,13.42,240,16.97,216,31.82,212,145.49,139.0,213.78,174,268.0,240,3.18,240,17.27
17,w_2021_simNo_4-s_5-m_100-n_500-fp_0.01-fn_0.05.wcnf,5229586433294125,17.69,897291526487612,47.5,827251183698983,74.52,828934005994034,58.11,904321771114496,14.24,901022179874358,11.35,826596190862672.0,298.13,12529290577080897,38.0,829282215557880,66.89,828934005994034,47.6
18,w_2021_ram_k4_n20.ra1.wcnf,2818,6.11,2937,286.22,2751,228.49,3127,100.76,2339,155.79,2688,215.28,7720.0,54.71,5397,46.0,3020,51.61,3187,222.86
19,w_2021_SwitchingActivityMaximization_OpenRISC1200_66.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,8.0,151.37,4,75.0,None,300,None,300
20,w_2021_SwitchingActivityMaximization_OpenRISC1200_76.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,12.0,277.91,24,98.0,None,300,None,300
21,w_2021_instance6.wcnf,2302,10.68,2170,78.71,2095,79.66,2091,297.59,2312,102.7,2075,294.43,2068.0,246.43,2200,249.0,2190,114.77,2087,87.86
22,w_2021_polysite-pmd.wcnf,None,300,188427,117.49,188481,253.44,188493,163.54,188503,167.96,188458,291.27,190826.0,111.81,188401,273.0,188492,252.19,188491,240.88
23,w_2021_SwitchingActivityMaximization_OpenRISC1200_100.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,42.0,176.88,26,292.0,None,300,None,300
24,w_2021_SingleDay_15_weighted.wcnf,3645151,57.93,3745851,298.7,3647780,183.09,3644296,222.06,3645753,230.94,3803525,261.15,3819612.0,9.03,3733331,286.0,3647046,249.09,3641464,229.23
25,w_2021_formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_2.wcnf,80,14.44,84,15.83,88,138.16,86,260.18,82,206.3,80,168.25,75.0,26.37,70,292.0,84,8.07,87,0.82
26,w_2021_brock200_3.clq.wcnf,1102,0.0,1102,7.58,1102,0.0,1102,0.0,1102,13.91,1102,9.0,1102.0,17.26,1153,1.0,1102,0.0,1102,0.0
27,w_2021_polysite-hsqldb.wcnf,None,300,172413,245.22,172555,165.58,172555,119.41,172590,173.88,172570,167.62,175624.0,99.04,172388,286.0,172545,145.63,172555,199.09
28,w_2021_lisbon-wedding-10-19.wcnf,991,13.48,409,282.29,443,43.13,422,215.94,556,181.28,414,91.25,380.0,7.14,380,19.0,432,42.16,433,252.12
29,w_2021_formula_0.8_2021_atleast_63_max-5_reduced_incomplete_adaboost_3.wcnf,131,22.48,129,19.86,142,9.77,135,7.6,127,238.21,128,107.83,114.0,182.05,113,17.0,135,53.62,135,7.94
30,w_2021_pa-2.wcnf,2579,114.05,2425,65.18,3017,151.48,3349,121.37,3349,72.95,3349,68.52,300,300,10675,285.0,3093,120.9,3349,119.97
31,w_2021_scpnrf4_weighted.wcnf,14,1.46,17,1.26,14,276.3,14,8.08,17,1.93,17,1.21,15.0,30.41,14,64.0,14,6.92,14,7.92
32,w_2021_af-synthesis_stb_50_120_5.wcnf,132,12.68,129,265.25,115,41.43,117,103.88,200,1.15,153,284.41,114.0,10.58,114,106.0,115,191.4,114,257.72
33,w_2021_inf-road-usa.wcnf,None,300,759720552,122.45,759720620,239.26,759720620,184.3,759720620,176.36,759719656,133.6,300,300,None,300,None,300,None,300
34,w_2021_bnn_mnist_30_label3_adversarial_norm_inf_totalizer.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,300,300,None,300,None,300,None,300
35,w_2021_downcast-pmd.wcnf,None,300,4235,106.45,4287,125.13,4276,288.29,4289,189.1,4267,235.4,6287.0,140.29,4227,200.0,4281,265.87,4281,118.89
36,w_2021_role_domino_0.5_0.wcnf,157304,38.12,172475,299.05,155865,104.02,154357,55.94,158524,250.53,259728,253.3,165654.0,57.06,160730,9.0,155276,71.05,154357,62.08
37,w_2021_SwitchingActivityMaximization_OpenRISC1200_200.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,119.0,156.41,118,281.0,None,300,None,300
38,w_2021_role_university_0.6_3.wcnf,408043,8.03,362148,284.62,219984,242.54,259948,96.41,228481,219.75,231758,274.79,219034.0,83.37,227906,67.0,226990,184.97,259948,99.84
39,w_2021_af-synthesis_stb_50_140_8.wcnf,129,14.06,134,90.32,113,105.06,114,10.91,205,1.43,179,244.48,113.0,9.61,113,5.0,114,44.82,114,10.75
